DataHora,Idade,PrincipalFuncao,NivelExperiencia,ExperienciaAtual,ExperienciaAtual2,MotivacaoInscricao,OQuePerguntaria,TopicosInteresse
21/06/2025 10:39:45,Entre 25 e 34,Programador(a),1-3 anos,De 1 a 3 anos de experiência,Manter-me atualizado(a) no mercado,Aplicações de Inteligência Artificial no mercado de programação e evolução de carreira,Aplicações de IA com .NET
21/06/2025 10:39:57,Entre 25 e 34,Programador(a),1-3 anos,De 1 a 3 anos de experiência,Manter-me atualizado(a) no mercado,o segredo para ser o profissional de ponta,todos
21/06/2025 10:40:13,Entre 25 e 34,Programador(a),3-5 anos,3 a 5 anos de experiência,Aplicar em projetos pessoais,"Sobre mercado de trabalho, quais tecnologias são as mais bem pagas.
Quais as vagas mais bem pagas tbm e como melhorar.","ASPNET
FULL STACK 
Salário"
21/06/2025 10:40:16,Entre 25 e 34,Servidor público,5+ anos,Mais de 5 anos de experiência,Manter-me atualizado(a) no mercado,O que preciso melhorar e como melhorar minha apresentação no Linkedin,"Nuvem (Azure, Aws, ...) e IA"
21/06/2025 10:40:18,Entre 25 e 34,Estudante de TI,Menos de 1 ano,"Já programei, mas apenas em estudos",Aplicar em projetos pessoais,Quais as dicas que voce daria para uma pessoa que esta iniciando?,"backend, frontend, banco de dados, computação em nuvem"
21/06/2025 10:40:46,Acima de 44,Programador(a),1-3 anos,De 1 a 3 anos de experiência,Manter-me atualizado(a) no mercado,Qual o segredo pra tanta disposição?,Gostaria de ver tópicos relacionados a jogos digitais.
21/06/2025 10:40:48,Entre 18 e 24,Programador(a),1-3 anos,De 1 a 3 anos de experiência,Manter-me atualizado(a) no mercado,Dicas sobre carreira profissional,"Projetos práticos, dicas de arquitetura e integrações com serviços externos"
21/06/2025 10:41:10,Entre 18 e 24,Programador(a),1-3 anos,Até a 1 ano de experiência,Manter-me atualizado(a) no mercado,Dicas para criar projetos bem estruturados desde o começo e sobre linkedin com posts tanto de projetos quanto de conteúdos e curiosidades,A parte de IA
21/06/2025 10:41:33,Entre 35 e 44,Programador(a),1-3 anos,Até a 1 ano de experiência,Manter-me atualizado(a) no mercado,Como desenvolver projetos para portfólio que seja relevante para um recrutador?,DevOps com Terraform integrando com GitHub Actions e deploy na AWS ou Azure
21/06/2025 10:43:19,Entre 25 e 34,Estudante de TI,1-3 anos,De 1 a 3 anos de experiência,Manter-me atualizado(a) no mercado,Como me manter mais atualizado no mercado full stack .net e como utilizar inteligência artificial nos projetos,Uso de inteligência artificial e desenvolvimento de aplicações full stack do zero
21/06/2025 10:45:03,Entre 35 e 44,Programador(a),Menos de 1 ano,Até a 1 ano de experiência,Curiosidade sobre o tema,,